codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello,forma,tipo_tavolo,materiale_struttura,finitura_struttura,materiale_piano,finitura_piano,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
T874002XNA,1,9410,NATUZZI,TAVOLI DA PRANZO,GUTTA,Rotondo,Fisso,Legno,Noce Americano,Marmo,"Oro Calacatta",149X135 H75,"GUTTA Pranzo Rot. 149x135H75 Cal.Oro/Noce",Y2,T874002XNA
T874004XNA,1,6300,NATUZZI,TAVOLI DA PRANZO,GUTTA,Rotondo,Fisso,Legno,Noce Americano,Legno,Noce Americano,149X135 H75,"GUTTA Pranzo Rot. 149x135H75 Noce Americano",Y2,T874004XNA
E021MT0,1,5770,NATUZZI,TAVOLI DA PRANZO,KENDO,Rettangolare,Fisso,Metallo,Ottone,Legno,"Rovere Fumé",100X260 H74,"KENDO TAVOLO PRANZO 260X100 H74 ROVERE FUMÉ-OTTONE",Y2,DDE0210MTL1112P
E021MTW,1,5040,NATUZZI,TAVOLI DA PRANZO,KENDO,Rettangolare,Fisso,Metallo,Ottone,Legno,"Rovere Fumé",100X180 H74,"KENDO TAVOLO PRANZO 180X100 H74 ROVERE FUMÉ-OTTONE",Y2,DDE021VMTL1112P
T873004XNA,1,140,NATUZZI,TAVOLI DA PRANZO,LIBRA,,Base Opzionale,Metallo,Bianco Opaco,,,64X64 H1,"Libra - Base Opzionale in metallo",Y2,T873004XNA
T873003XNA,1,7430,NATUZZI,TAVOLI DA PRANZO,LIBRA,Ellittico,Fisso,Marmo,Marmo di Carrara,Pietra Acrilica,Bianco,240X110 H76,"LIBRA Pranzo Ellip. 240X110H76 Carrara&Betacryl",Y2,T873003XNA
T873001XNA,1,6180,NATUZZI,TAVOLI DA PRANZO,LIBRA,Rotondo,Fisso,Marmo,Marmo di Carrara,Marmo,Marmo di Carrara,140X140 H76,"LIBRA Pranzo Rotondo D140H76 Marmo Carrara",Y2,T873001XNA
T873002XNA,1,7060,NATUZZI,TAVOLI DA PRANZO,LIBRA,Rotondo,Fisso,Marmo,Marmo di Carrara,Marmo,Marmo di Carrara,160X160 H76,"LIBRA Pranzo Rotondo D160H76 Marmo Carrara",Y2,T873002XNA
Q126001XNA,1,12560,NATUZZI,TAVOLI DA PRANZO,MONUMENT,Ellittico,Fisso,Legno,Noce Massello,Legno,Noce Massello,120X280 H76,"Monument Legno Massello Noce L280P120H76",Y2,Q126001XNA
E013L00,1,2290,NATUZZI,TAVOLI DA PRANZO,"NEW SATURNO",Rettangolare,Fisso,Legno,Frassino Grigio,Vetro,Bianco Smaltato,100X200 H74,"NEW SATURNO TAVOLO PRANZO 200X100H74 FRASSINO GRIGIO-BIANCO",Y2,DDE0130LGV1152P
E013LN0,1,2120,NATUZZI,TAVOLI DA PRANZO,"NEW SATURNO",Rettangolare,Fisso,Legno,"Rovere Fumé",Vetro,Caffè Smaltato,100X200 H74,"NEW SATURNO TAVOLO PRANZO 200X100 H74 ROVERE FUMÉ",Y2,DDE0130LGV0424P
Q129001XNA,1,7290,NATUZZI,TAVOLI DA PRANZO,NODO,Ellittico,Fisso,Metallo,Oro Chiaro,Legno,Frassino Tabacco,110X240 H74,"Nodo Oro Chiaro/Frassino Tabacco L240P110H74",Y2,Q129001XNA
T848001XNA,1,6210,NATUZZI,TAVOLI DA PRANZO,OMBRA,Ellittico,Fisso,Legno e Metallo,Peltro,Legno,Frassino Tabacco,95X200 H75,"OMBRA Pranzo 200x95H75 Peltro Frassino Tabacco",Y2,T848001XNA
T848002XNA,1,6970,NATUZZI,TAVOLI DA PRANZO,OMBRA,Ellittico,Fisso,Legno e Metallo,Peltro,Legno,Frassino Tabacco,120X240 H75,"OMBRA Pranzo 240x120H75 Peltro Frassino Tabacco",Y2,T848002XNA
E024LT0,1,6260,NATUZZI,TAVOLI DA PRANZO,PHANTOM,Rettangolare,Fisso,Vetro,Trasparente,Legno,Noce,105X260 H74,"PHANTOM TAVOLO 260X105 H74 NOCE-TRASPARENTE",Y2,DDE0240LG11200P
E024LTV,1,6060,NATUZZI,TAVOLI DA PRANZO,PHANTOM,Rettangolare,Fisso,Vetro,Trasparente,Legno,Noce,95X200 H74,"PHANTOM TAVOLO 200X95 H74 NOCE-TRASPARENTE",Y2,DDE024VLG11200P
T17204X,1,6500,NATUZZI,TAVOLI DA PRANZO,PHANTOM,Rettangolare,Fisso,Vetro,Trasparente,Legno,"Rovere Fumé Termocotto",105X260 H74,"PHANTOM Tavolo L260 Rovere 2017 /Trasparente",Y2,DDT17200000004X
T17205X,1,6160,NATUZZI,TAVOLI DA PRANZO,PHANTOM,Rettangolare,Fisso,Vetro,Trasparente,Legno,"Rovere Fumé Termocotto",95X200 H74,"PHANTOM Tavolo L200 Rovere 2017 /Trasparente",Y2,DDT17200000005X
T17206X,1,5750,NATUZZI,TAVOLI DA PRANZO,PHANTOM,Rotondo,Fisso,Vetro,Trasparente,Marmo,Travertino,160X160 H74,"Phantom Rotondo Travertino/Noce D160 cm",Y2,DDT17200000006X
Q125001XNA,1,49870,NATUZZI,TAVOLI DA PRANZO,URAGANO,Ellittico,Fisso,Legno,Legno Massello di Ulivo,Vetro,Vetro Extra Chiaro,120X290 H75,"Uragano legno massello ulivo L290 P120 H75",Y2,Q125001XNA
T846001XNA,1,3100,NATUZZI,TAVOLI DA PRANZO,VIRGOLA,Rettangolare,Allungabile,Metallo,Antracite,FENIX,Cioccolato,"160X90 H74","VIRGOLA ALL. PRANZO 160(200)X90H74 CIOC. MARQ.",Y2,T846001XNA
T846002XNA,1,3730,NATUZZI,TAVOLI DA PRANZO,VIRGOLA,Rettangolare,Allungabile,Metallo,Antracite,FENIX,Cioccolato,"220X100 H74","VIRGOLA ALL. PRANZO 220(270)X100H74 CIOC. MARQ.",Y2,T846002XNA
T846003XNA,1,2890,NATUZZI,TAVOLI DA PRANZO,VIRGOLA,Rettangolare,Allungabile,Metallo,Antracite,FENIX,Cioccolato,"140X90 H74","VIRGOLA ALL. PRANZO 140(180)X90H74 CIOC. MARQ.",Y7,T846003XNA
T846004XNA,1,3420,NATUZZI,TAVOLI DA PRANZO,VIRGOLA,Rettangolare,Allungabile,Metallo,Antracite,FENIX,Cioccolato,"180X100 H74","VIRGOLA ALL. PRANZO 180(230)X100H74 CIOC. MARQ.",Y2,T846004XNA
T846005XNA,1,3100,NATUZZI,TAVOLI DA PRANZO,VIRGOLA,Rettangolare,Allungabile,Metallo,Grigio,FENIX,Grigio Chiaro Opaco,"160X90 H74","VIRGOLA ALL. T160(200)X90H74 GRIGIO IMPER.",Y2,T846005XNA
T846006XNA,1,3730,NATUZZI,TAVOLI DA PRANZO,VIRGOLA,Rettangolare,Allungabile,Metallo,Grigio,FENIX,Grigio Chiaro Opaco,"220X100 H74","VIRGOLA ALL. T220(270)X100H74 GRIGIO IMPER.",Y2,T846006XNA
T846007XNA,1,2890,NATUZZI,TAVOLI DA PRANZO,VIRGOLA,Rettangolare,Allungabile,Metallo,Grigio,FENIX,Grigio Chiaro Opaco,"140X90 H74","VIRGOLA ALL. T140(180)X90H74 GRIGIO IMPER.",Y7,T846007XNA
T846008XNA,1,3420,NATUZZI,TAVOLI DA PRANZO,VIRGOLA,Rettangolare,Allungabile,Metallo,Grigio,FENIX,Grigio Chiaro Opaco,"180X100 H74","VIRGOLA ALL. T180(230)X100H74 GRIGIO IMPER.",Y2,T846008XNA
T845001XNA,1,7110,NATUZZI,TAVOLI DA PRANZO,VOYAGE,Ellittico,Fisso,Metallo,Oro,Marmo,Stardust,110X220 H75,"VOYAGE Pranzo 220x110H75 Oro-Stardust Stone",Y2,T845001XNA
T845002XNA,1,6360,NATUZZI,TAVOLI DA PRANZO,VOYAGE,Ellittico,Fisso,Metallo,Oro,Vetro,"Gold & Glass",110X220 H75,"VOYAGE Pranzo 220x110H75 Oro&Vetro",Y2,T845002XNA
T845003XNA,1,4040,NATUZZI,TAVOLI DA PRANZO,VOYAGE,Rotondo,Fisso,Metallo,Oro,Vetro,"Gold & Glass",138X138 H75,"VOYAGE Pranzo Rotondo D138H75 Oro&Vetro",Y2,T845003XNA
