codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello_o_linea,tipo_oggetto,materiale,finitura_colore_principale,materiale_secondario,colore_secondario,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
A890C6V,1,86,NATUZZI,OGGETTI DECORATIVI,PUMO,Pumo,Ceramica,Platino,,,8 H10,"PUMO PICCOLO D8 H10 PLATINO",Y2,DDO890TCR01100V
A890CB0,1,173,NATUZZI,OGGETTI DECORATIVI,PUMO,Pumo,Ceramica,Bronzo,,,11X11 H15,"PUMO GRANDE D11 H15 BRONZO",Y2,DDO890TCR0BR000
A890CBV,1,86,NATUZZI,OGGETTI DECORATIVI,PUMO,Pumo,Ceramica,Bronzo,,,8X8 H10,"PUMO PICCOLO D8 H10 BRONZO",Y2,DDO890TCR0BR00V
O075001XNA,1,370,NATUZZI,OGGETTI DECORATIVI,"PUMO BEE",Pumo,Ceramica,Bianco,,Oro,15X15 H26,"PUMO BEE (Massimo Iosa Ghini)",Y2,O075001XNA
O074001XNA,1,330,NATUZZI,OGGETTI DECORATIVI,"PUMO DELFT",Pumo,Ceramica,"Bianco/Blu",,,22X22 H30,"PUMO DELFT (Marcel Wanders)",Y2,O074001XNA
O077001XNA,1,490,NATUZZI,OGGETTI DECORATIVI,"PUMO GILI",Pumo,Vetro,Opalino,,Verde Menta,20X20 H30,"PUMO GILI (Elena Salmistraro)",Y2,O077001XNA
O079001XNA,1,300,NATUZZI,OGGETTI DECORATIVI,"PUMO LUKKY",Pumo,Legno,Ecrù,Poliestere,Ottone,14X14 H21,"PUMO LUKKY (Lorenza Bozzoli)",Y2,O079001XNA
O076001XNA,1,210,NATUZZI,OGGETTI DECORATIVI,"PUMO POP",Pumo,Ceramica,Bianco,,Multicolore,14X14 H20,"PUMO POP (Patrick Norguet)",Y2,O076001XNA
O078001XNA,1,300,NATUZZI,OGGETTI DECORATIVI,"PUMO WADI",Pumo,Legno Laccato,Lavagna,,Lavagna,16X20 H22,"PUMO WADI (Mauro Lipparini)",Y2,O078001XNA
A14101X,1,270,NATUZZI,OGGETTI DECORATIVI,Silo,Orcio in Ceramica,Terracotta,,,,30X30 H26,"SILO Orcio D30 H26 TERRACOTTA",Y2,DDO14100000001X
A14102X,1,500,NATUZZI,OGGETTI DECORATIVI,Silo,Orcio in Ceramica,Terracotta,,,,35X35 H55,"SILO Orcio D35 H55 TERRACOTTA",Y2,DDO14100000002X
A14201X,1,97,NATUZZI,OGGETTI DECORATIVI,"URCHIN VASES",Vaso,Ceramica,Bianco,,,16X16 H8,"URCHIN VASES Vaso Ceramica D16H8 BIANCO",Y2,DDO14200000001X
A14202X,1,150,NATUZZI,OGGETTI DECORATIVI,"URCHIN VASES",Vaso,Ceramica,Bianco,,,22X22 H15,"URCHIN VASES Vaso Ceramica D22H15 BIANCO",Y2,DDO14200000002X
A14203X,1,210,NATUZZI,OGGETTI DECORATIVI,"URCHIN VASES",Vaso,Ceramica,Bianco,,,20X20 H24,"URCHIN VASES Vaso Ceramica D20H24 BIANCO",Y2,DDO14200000003X
