codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello_o_prodotto,tipo_prodotto,materiale_principale,finitura_colore_principale,materiale_secondario_o_top,finitura_colore_secondario_o_top,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
A647X70,1,370,NATUZZI,"ARTE APERTA",VASUM,Vaso,Polipropilene,Caffè Lucido,,,22X22 H55,"VASUM CAFFÈ 22X22 H55 LUCIDO",YS,DDO6470PO002000
A90400W,1,54,NATUZZI,PROFUMATORI,MELOGRANO,"Diffusore a Bastoncini 100ml",,,,"Melograno",,"MELOGRANO DIFFUSORE BASTONCINI PICCOLO",Y6,DDO904000100000
A90800W,1,54,NATUZZI,PROFUMATORI,"SPEZIE-AGRUMI","Diffusore a Bastoncini 100ml",,,,"Spezie-Agrumi",,"SPEZIE-AGRUMI DIFFUSORE BASTONCINI PICCOLO",Y6,DDO908000100000
A90900W,1,54,NATUZZI,PROFUMATORI,"TE BIANCO","Diffusore a Bastoncini 100ml",,,,"Tè Bianco",,"TE BIANCO DIFFUSORE BASTONCINI PICCOLO",Y6,DDO909000100000
A889M60,1,22,NATUZZI,"ARTICOLI PER LA TAVOLA","CIBO'",Forchetta,Metallo,Acciaio,,,,"CIBO' SET 4 POSATE ACCIAIO",YS,DDO8890MT0NI000
A884V00,1,108,NATUZZI,"ARTICOLI PER LA TAVOLA",HYDRIA,Caraffa,Vetro,Trasparente,,,10 H20,"HYDRIA BROCCA D10 H20 TRASPARENTE",YS,DDO884TVT000000
A878TWV,1,76,NATUZZI,"ARTICOLI PER LA TAVOLA",SIMPOSIO,"Set Biancheria Tavola (Tovaglia+Tovaglioli)",Lino,"Bianco/Blu",,,,"SIMPOSIO SET TAVOLA(TOVAGLIA+TOVAGLIOLI) BIANCO-BLU",YS,DDO8780TX05260V
A63501X,1,440,NATUZZI,"DECORAZIONI MURALI","Donna con orchidea","Decorazione Murale",Carta,,,,72X72 H6.2,"DONNA CON ORCHIDEA Edizione Limitata",YP,DDO63500000001X
A63801X,1,440,NATUZZI,"DECORAZIONI MURALI","Profilo donna con orchidea","Decorazione Murale",Carta,,,,72X72 H6.2,"PROFILO DONNA CON ORCHIDEA Edizione Limitata",YS,DDO63800000001X
K213002XNA,1,20,NATUZZI,"KIT PULIZIA","FABRIC CLEANING KIT","Kit Pulizia Tessuto",Kit,"Per Tessuto",,,,"KIT PULIZIA TESSUTO NATUZZI",Y6,K213002XNA
K216002XNA,1,20,NATUZZI,"KIT PULIZIA","LEATHER CLEANING KIT","Kit Pulizia Pelle",Kit,"Per Pelle",,,,"KIT PULIZIA PELLE NATUZZI",Y6,K216002XNA
T032P08,1,216,NATUZZI,"ALTRI ARREDI",SWING,Portariviste,Metallo,Cromo Lucido,Pelle,Grigio,26X60 H47,"SWING portariviste 60X26 H47 cromo-grigio",Y2,DDT032MPLM6300P
T032PF0,1,150,NATUZZI,"ALTRI ARREDI",SWING,Portariviste,Metallo,Nickel,Pelle,Caffè,26X60 H47,"SWING portariviste 60x26 H47 marrone",Y2,DDT032MPL02100P
O081001XNA,1,500,NATUZZI,"BIANCHERIA LETTO",CAMALDOLI,"Set Lenzuola Completo (Sopra+Sotto+2Federe)",Cotone,Bianco,Cotone,Bianco,295X270,"CAMALDOLI Lenz.Sopra+Sotto+2Federe BIANCO",Y2,O081001XNA
O081002XNA,1,670,NATUZZI,"BIANCHERIA LETTO",CAMALDOLI,"Set Copripiumino Completo (Sacco+Sotto+2Federe)",Cotone,Bianco,Cotone,Bianco,230X270,"CAMALDOLI Coprip.+Sotto+2Federe BIANCO",Y2,O081002XNA
F005KV0,1,1020,NATUZZI,MATERASSI,"MATERASSO NATUZZI","Materasso a Molle",Molle,,Poliestere,Bianco,160X200 H23,"MATERASSO NATUZZI MOLLE INS. 160X200H23 BIANCO",Y2,DDB0050PSK52000
F005KVV,1,1130,NATUZZI,MATERASSI,"MATERASSO NATUZZI","Materasso a Molle",Molle,,Poliestere,Bianco,180X200 H23,"MATERASSO NATUZZI MOLLE INS. 180X200H23 BIANCO",Y2,DDB0050PSK5200V
T100FMB,1,600,NATUZZI,CONSOLE,CABARET,Console,Metallo,Caffè Opaco,Legno,"Rovere Fumé",27X90 H56,"CABARET CONSOLE 90X27 H56 MARRONE-ROVERE FUMÉ",Y2,DDT100BFRL2424P
T100MTB,1,840,NATUZZI,CONSOLE,CABARET,Console,Metallo,Cromo Lucido,Legno,Rovere Caffè,90X27 H56,"CABARET CONSOLE 90X27 H56 CROMO/ROVERE CAFFÈ",Y2,DDT100BFRL1112P
T058V05,1,820,NATUZZI,CONSOLE,MERCURIO,Console,Vetro,Fumé,Vetro,,42X140 H74,"MERCURIO CONSOLE 140X42H74 FUMÉ",Y2,DDT058CVTX6300P
T058VX5,1,750,NATUZZI,CONSOLE,MERCURIO,Console,Vetro,Trasparente,Vetro,,42X140 H74,"MERCURIO CONSOLE 140X42 H74 CRISTALLO",Y2,DDT058CVTX0000P
E007L08,1,227,NATUZZI,CONSOLE,OMEGA,"Cassetto per Scrivania",Legno,Antracite Opaco,,,34X38 H8,"OMEGA CASSETTO 34X38 H8 ANTRACITE OPACO",Y2,DDE007MLG06300P
E007LM8,1,216,NATUZZI,CONSOLE,OMEGA,"Cassetto per Scrivania",Legno Laccato,Caffè Opaco,Legno Laccato,Caffè Opaco,34X38 H8,"OMEGA CASSETTO 34X38 H8 CAFFÈ",Y2,DDE007MLG02500P
W01102X,1,6940,NATUZZI,"PORTA TV",Campus,"Mobile TV","Metallo/Legno","Cromo Nero Lucido - Legno Eucalipto",Legno,Eucalipto,42X200 H60,"CAMPUS PORTA TV L200X42H60 EUCALIPTO",Y2,DDW01100000002X
W01103X,1,7750,NATUZZI,"PORTA TV",Campus,"Mobile TV","Legno e Metallo","Champagne Lucido/Legno Frassino Tabacco",Legno,"Legno Frassino/Tabacco/Champagne",43X200 H60,"CAMPUS PORTA TV L220 Frassino Tabacco",Y2,DDW01100000003X
CH180031400,1,1510,NATUZZI,SGABELLI,DOVE,"Sgabello senza braccioli",Metallo,,Pelle,,50X48 H80,"Dove Sgabello Pelle CAT 15",Y2,CH180031400
CH180034000,1,1620,NATUZZI,SGABELLI,DOVE,"Sgabello senza braccioli",Metallo,,Pelle,,50X48 H80,"Dove Sgabello Pelle CAT 40",Y2,CH180034000
CH180039900,1,1510,NATUZZI,SGABELLI,DOVE,"Sgabello senza braccioli",Metallo,,Tessuto,,50X48 H80,"Dove Sgabello Tessuto CAT 99",Y2,CH180039900
CH18003A000,1,1500,NATUZZI,SGABELLI,DOVE,"Sgabello senza braccioli",Metallo,,Pelle,,50X48 H80,"Dove Sgabello Pelle CTA0",Y2,CH18003A000
CH170031400,1,1330,NATUZZI,SGABELLI,Shield,"Sgabello con braccioli",Metallo,Cromo Nero Lucido,Pelle,,60X51 H103,"Shield Sgabello Pelle CAT 15",Y2,CH170031400
CH170034000,1,1510,NATUZZI,SGABELLI,Shield,"Sgabello con braccioli",Metallo,Cromo Nero Lucido,Pelle,,60X51 H103,"Shield Sgabello Pelle CAT 40",Y2,CH170034000
CH170039900,1,1360,NATUZZI,SGABELLI,Shield,"Sgabello con braccioli",Metallo,Cromo Nero Lucido,Velluto,,60X51 H103,"Shield Sgabello Velluto CAT 99",Y2,CH170039900
CH17003A000,1,1300,NATUZZI,SGABELLI,Shield,"Sgabello con braccioli",Metallo,Cromo Nero Lucido,Pelle,,60X51 H103,"Shield Sgabello Pelle CTA0",Y2,CH17003A000
G18401X,1,5720,NATUZZI,"MOBILI BAR",Skyline,"Mobile Bar",Metallo,Cromo Nero Lucido,"Legno/Marmo","Frassino Nero/Granito Nero",154X71 H108,"SKYLINE MOBILE BAR",Y2,DDG18400000001X
G00101X,1,2350,NATUZZI,SCRIVANIE,Filrouge,Scrivania,"Legno e Metallo","Rovere Fumé/Nero Brunito",Marmo,Volakas,43X130 H73,"FIL ROUGE SCRIVANIA ROVERE 2017/VOLAKAS",Y2,DDG001R0000001X
G875001XNA,1,3020,NATUZZI,SCRIVANIE,INU,"Console Allungabile","Legno e Metallo",Frassino,Fenix,Bianco,180X98 H72,"INU Scrivania All. 180X98(108)H72 Fenix Bianco/Rovere",Y2,G875001XNA
E007M4W,1,2560,NATUZZI,SCRIVANIE,OMEGA,Scrivania,Metallo,Caffè Opaco,Marmo,"Oro Calacatta Cerato",52X133 H76,"OMEGA SCRIVANIA 133X52 H76 CALACATTA ORO/CAFFÈ",Y2,DDE007WMAM6924P
E007MTW,1,2970,NATUZZI,SCRIVANIE,OMEGA,Scrivania,Metallo,Antracite Opaco,Marmo,"Sahara Noir",52X133 H76,"OMEGA SCRIVANIA 133X52 H76 ANTRACITE-SAHARA LUCIDO",Y2,DDE007WMAM6369P
T172R1X,1,5430,NATUZZI,SCRIVANIE,PHANTOM,Scrivania,Legno,Noce,,,60X180 H73,"PHANTOM SCRITTOIO NOCE 2017",Y2,DDT172R0000001X
T172R2X,1,5430,NATUZZI,SCRIVANIE,PHANTOM,Scrivania,Legno,"Rovere Fumé",,,60X180 H73,"PHANTOM SCRITTOIO ROVERE 2017",Y2,DDT172R0000002X
