codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello,forma,materiale_principale,colore_principale,materiale_secondario,colore_secondario,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
R859VNX,1,2570,NATUZZI,TAPPETI,SETI,Rettangolare,Viscosa di Bamboo,Argento,,,200X300,"SETI TAPPETO 200X300 Argento",Y2,DDR859RVS00000X
V839002XNA,1,3690,NATUZZI,TAPPETI,SILENCE,Rettangolare,Lana,Grigio,Cotone,,300X400,"SILENCE Tappeto Rettangolare 300x400 Grigio",YP,V839002XNA
V843001XNA,1,1930,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Verde Lichene Scuro,Cotone,,200X300,"SOPHIA B Tappeto Rettangolare 200x300 Verde Lichene Scuro",Y2,V843001XNA
V843002XNA,1,3810,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Verde Lichene Scuro,Cotone,,300X400,"SOPHIA B Tappeto Rettangolare 300x400 Verde Lichene Scuro",Y2,V843002XNA
V843003XNA,1,1930,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Grigio Granito,Cotone,,200X300,"SOPHIA B Tappeto Rettangolare 200x300 Grigio Granito",Y2,V843003XNA
V843004XNA,1,3810,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Grigio Granito,Cotone,,300X400,"SOPHIA B Tappeto Rettangolare 300x400 Grigio Granito",Y2,V843004XNA
V843005XNA,1,1930,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Marrone Major,Cotone,,200X300,"SOPHIA B Tappeto Rettangolare 200x300 Marrone Major",Y2,V843005XNA
V843006XNA,1,3810,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Marrone Major,Cotone,,300X400,"SOPHIA B Tappeto Rettangolare 300x400 Marrone Major",Y2,V843006XNA
V843007XNA,1,1930,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Guscio di Cocco,Cotone,,200X300,"SOPHIA B Tappeto Rettangolare 200x300 Guscio di Cocco",Y2,V843007XNA
V843008XNA,1,3810,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Guscio di Cocco,Cotone,,300X400,"SOPHIA B Tappeto Rettangolare 300x400 Guscio di Cocco",Y2,V843008XNA
V843009XNA,1,1930,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Tap Shoe,Cotone,,200X300,"SOPHIA B Tappeto Rettangolare 200x300 Tap Shoe",Y2,V843009XNA
V843010XNA,1,3810,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Tap Shoe,Cotone,,300X400,"SOPHIA B Tappeto Rettangolare 300x400 Tap Shoe",Y2,V843010XNA
V843011XNA,1,1930,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Noce,Cotone,,200X300,"SOPHIA B Tappeto Rettangolare 200x300 Noce",Y2,V843011XNA
V843012XNA,1,3810,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Noce,Cotone,,300X400,"SOPHIA B Tappeto Rettangolare 300x400 Noce",Y2,V843012XNA
V843013XNA,1,1930,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Marron,Cotone,,200X300,"SOPHIA B Tappeto Rettangolare 200x300 Marron",Y2,V843013XNA
V843014XNA,1,3810,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Marron,Cotone,,300X400,"SOPHIA B Tappeto Rettangolare 300x400 Marron",Y2,V843014XNA
V843015XNA,1,1930,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Dijon,Cotone,,200X300,"SOPHIA B Tappeto Rettangolare 200x300 Dijon",Y2,V843015XNA
V843016XNA,1,3810,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Dijon,Cotone,,300X400,"SOPHIA B Tappeto Rettangolare 300x400 Dijon",Y2,V843016XNA
V843017XNA,1,1930,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Mogano Ciliegia,Cotone,,200X300,"SOPHIA B Tappeto Rettangolare 200x300 Mogano Ciliegia",Y2,V843017XNA
V843018XNA,1,3810,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Mogano Ciliegia,Cotone,,300X400,"SOPHIA B Tappeto Rettangolare 300x400 Mogano Ciliegia",Y2,V843018XNA
V843019XNA,1,1930,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Oceano al Chiaro di Luna,Cotone,,200X300,"SOPHIA B Tappeto Rettangolare 200x300 Oceano al Chiaro di Luna",Y2,V843019XNA
V843020XNA,1,3810,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Oceano al Chiaro di Luna,Cotone,,300X400,"SOPHIA B Tappeto Rettangolare 300x400 Oceano al Chiaro di Luna",Y2,V843020XNA
V843021XNA,1,1930,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Antartide,Cotone,,200X300,"SOPHIA B Tappeto Rettangolare 200x300 Antartide",Y2,V843021XNA
V843022XNA,1,3810,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Antartide,Cotone,,300X400,"SOPHIA B Tappeto Rettangolare 300x400 Antartide",Y2,V843022XNA
V843023XNA,1,1930,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Fungo,Cotone,,200X300,"SOPHIA B Tappeto Rettangolare 200x300 Fungo",Y2,V843023XNA
V843024XNA,1,3810,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Fungo,Cotone,,300X400,"SOPHIA B Tappeto Rettangolare 300x400 Fungo",Y2,V843024XNA
V843025XNA,1,3180,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Pellicano,Cotone,,300X400,"SOPHIA B Tappeto 300x400 Pellicano",Y2,V843025XNA
V843026XNA,1,1590,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Pellicano,Cotone,,200X300,"SOPHIA B Tappeto 200x300 Pellicano",Y2,V843026XNA
V843027XNA,1,3180,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Giorno di Pioggia,Cotone,,300X400,"SOPHIA B Tappeto 300x400 Giorno di Pioggia",Y2,V843027XNA
V843028XNA,1,1590,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Giorno di Pioggia,Cotone,,200X300,"SOPHIA B Tappeto 200x300 Giorno di Pioggia",Y2,V843028XNA
V843029XNA,1,3810,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Beige,Cotone,,"400X300 H1.5","SOPHIA B Tappeto 300x400 Beige",Y2,V843029XNA
V843030XNA,1,1930,NATUZZI,TAPPETI,SOPHIA B,Rettangolare,Tencel,Beige,Cotone,,"300X200 H1.5","SOPHIA B Tappeto 200x300 Beige",Y2,V843030XNA
V843033XNA,1,3740,NATUZZI,TAPPETI,SOPHIA B,Forma Organica,Tencel,Agave,Cotone,,"400X400 H2","SOPHIA B Tappeto Organico 400x400 Agave",Y2,V843033XNA
V082001XNA,1,5170,NATUZZI,TAPPETI,VISION,Rettangolare,Viscosa di Bamboo,Argento,,,400X300,"VISION Tappeto 300x400 Argento",Y2,V082001XNA
V855001XNA,1,1520,NATUZZI,TAPPETI,VORTEX,Rotondo,,Platino,Viscosa,,250X250,"VORTEX Tappeto Rotondo D250 Platino",Y2,V855001XNA
V855002XNA,1,1520,NATUZZI,TAPPETI,VORTEX,Rotondo,,Oro,Viscosa,,250X250,"VORTEX Tappeto Rotondo D250 Oro",Y2,V855002XNA
V855003XNA,1,2640,NATUZZI,TAPPETI,VORTEX,Rotondo,Acrilico,Platino,Viscosa,Platino,"350X350 H2","VORTEX Tappeto D350 Platino",Y2,V855003XNA
V855004XNA,1,2640,NATUZZI,TAPPETI,VORTEX,Rotondo,Acrilico,Oro,Viscosa,Oro,"350X350 H2","VORTEX Tappeto D350 Oro",Y2,V855004XNA
