codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello,tipo_lampada,materiale_struttura,finitura_struttura,materiale_paralume,finitura_paralume,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
L50504G,1,3410,NATUZZI,LAMPADE,Halo,Piantana,Metallo,Nickel Brunito,Vetro,Champagne,26X33 H178,"HALO LAMPADA PIANTANA NICKEL BRUNITO CHAMPAGNE",YS,DDL50500000004G
L851001GNA,1,1950,NATUZZI,LAMPADE,Joy,Piantana,Metallo,,Vetro,"Oro Chiaro Iridescente",45X140 H230,"JOY Lampada ad Arco 140x45H230 Iridescente/Oro Chiaro",YS,L851001GNA
L851002GNA,1,1670,NATUZZI,LAMPADE,Joy,Piantana,Metallo,,Vetro,"Oro Chiaro Iridescente",45X45 H185,"JOY Piantana 45H185 Iridescente/Oro Chiaro",YS,L851002GNA
L851003GNA,1,1060,NATUZZI,LAMPADE,Joy,Da Tavolo,Metallo,,Vetro,"Oro Chiaro Iridescente",30X30 H55,"JOY Lampada Tavolo D30H55 Iridescente/Oro Chiaro",YS,L851003GNA
L851004GNA,1,970,NATUZZI,LAMPADE,Joy,A Sospensione,Metallo,,Vetro,"Oro Chiaro Iridescente",30X30 H50,"JOY Lampada Sospensione D30H55 Iridescente/Oro Chiaro",YS,L851004GNA
L50701G,1,890,NATUZZI,LAMPADE,KENDO,Da Tavolo,Metallo,Peltro,Vetro,Bianco,44X44 H44,"KENDO LAMPADA TAVOLO PELTRO BIANCO",YS,DDL50700000001G
L50702G,1,890,NATUZZI,LAMPADE,KENDO,Da Tavolo,Metallo,Ottone,Vetro,Bianco,44X44 H44,"KENDO LAMPADA TAVOLO OTTONE BIANCO",YS,DDL50700000002G
L50703G,1,2880,NATUZZI,LAMPADE,KENDO,Piantana,Metallo,Peltro,Legno,Noce,51X51 H170,"KENDO LAMPADA PIANTANA PELTRO NOCE",YS,DDL50700000003G
L50704G,1,2880,NATUZZI,LAMPADE,KENDO,Piantana,Metallo,Ottone,Legno,Rovere Fumé,51X51 H170,"KENDO LAMPADA PIANTANA OTTONE ROVERE AFFUMICATO",YS,DDL50700000004G
L502VWG,1,760,NATUZZI,LAMPADE,VICO,Da Tavolo,Metallo,Bianco,Metallo,Bianco,28X28 H50,"VICO T2 LAMPADA TAVOLO MEDIA D28 H50 BIANCO",YS,DDL502TFRX5252G
L502XNG,1,710,NATUZZI,LAMPADE,VICO,Da Tavolo,Metallo,Cromo Nero,Metallo,Cromo Nero,20 H36,"VICO T3 LAMPADA TAVOLO BASSA D20 H36 CROMO NERO",YS,DDL502TFR01763G
L502XWG,1,600,NATUZZI,LAMPADE,VICO,Da Tavolo,Metallo,Bianco,Metallo,Bianco,20X20 H36,"VICO T3 LAMPADA TAVOLO BASSA D20 H36 BIANCO",YS,DDL502TFR05252G
L51402G,1,1370,NATUZZI,LAMPADE,Colosseo,Piantana,Metallo,Cromo Nero,,,13X26 H141,"COLOSSEO PIANTANA H141 CROMO NERO",Y2,DDL51400000002G
L51404G,1,1130,NATUZZI,LAMPADE,Colosseo,Da Tavolo,Metallo,Cromo Nero,,,22X27 H49,"COLOSSEO LAMPADA TAVOLO H49 CROMO NERO",Y2,DDL51400000004G
L51411G,1,3510,NATUZZI,LAMPADE,Colosseo,Piantana,Metallo,Nero Opaco,Plexiglass,Bianco,30X145 H200,"COLOSSEO LAMPADA AD ARCO NERO/BIANCO",Y2,DDL51400000011G
L51412G,1,1610,NATUZZI,LAMPADE,Colosseo,Piantana,Metallo,Champagne,Metallo,Champagne,26X13 H141,"COLOSSEO PIANTANA H141 CHAMPAGNE",Y2,DDL51400000012G
L51413G,1,1320,NATUZZI,LAMPADE,Colosseo,Da Tavolo,Metallo,Champagne,Metallo,Champagne,22X27 H49,"COLOSSEO LAMPADA TAVOLO H49 CHAMPAGNE",Y2,DDL51400000013G
L51416G,1,3510,NATUZZI,LAMPADE,Colosseo,Piantana,Metallo,Champagne,Plexiglass,,30X145 H200,"COLOSSEO LAMPADA AD ARCO CHAMPAGNE/BIANCO",Y2,DDL51400000016G
N942001XNA,1,180,NATUZZI,LAMPADE,GERMOGLIO,Da Tavolo,Metallo,Oro,Metallo,,25X6 H30,"GERMOGLIO Lampada Tavolo ORO H30",Y2,N942001XNA
