codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello,tipo_comodino,materiale_struttura,finitura_struttura,materiale_piano,finitura_piano,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
B002VND,1,1040,NATUZZI,COMODINI,MONDRIAN,Comodino Sinistro,Legno,Noce,Metallo,Caffè Opaco,60X50 H40,"MONDRIAN Comodino SX 60X50H40 CAFFÈ OPACO-NOCE",Y2,DDN002DLGM24040
B002VWD,1,720,NATUZZI,COMODINI,MONDRIAN,Comodino Destro,Legno Laccato,Bianco Opaco,Metallo,Nickel,60X50 H40,"MONDRIAN Comodino DX 60X50 H40 BIANCO-NICKEL",Y2,DDN002DLGM52NIV
B004LR0,1,1160,NATUZZI,COMODINI,MUNARI,Comodino Destro,Legno,"Rovere Fumé",Legno,"Rovere Fumé",65X45 H41,"MUNARI Comodino DX 65X45 H41 ROVERE FUMÉ",Y2,DDN004DLGV1200V
B004LRY,1,1160,NATUZZI,COMODINI,MUNARI,Comodino Sinistro,Legno,"Rovere Fumé",Legno,"Rovere Fumé",65X45 H41,"MUNARI Comodino SX 65X45 H41 ROVERE FUMÉ",Y2,DDN004DLGV12000
B004LV0,1,1720,NATUZZI,COMODINI,MUNARI,Comodino Destro,Legno,"Rovere Fumé",Marmo,"Oro Calacatta",65X45 H41,"MUNARI Comodino DX 65X45H41 ROVERE FUMÉ-CALACATTA ORO",Y2,DDN004DLGV12ORV
B004LVV,1,1720,NATUZZI,COMODINI,MUNARI,Comodino Sinistro,Legno,"Rovere Fumé",Marmo,"Oro Calacatta",65X45 H41,"MUNARI Comodino SX 65X45H41 ROVERE FUMÉ-CALACATTA ORO",Y2,DDN004DLGV12OR0
B00702X,1,1790,NATUZZI,COMODINI,SVEVO,Comodino,"Legno-Vetro",Rovere,"Legno e Metallo",Caffè,48X78 H50,"SVEVO COMODINO ROVERE 2017/CAFFÈ",Y2,DDN00700000002X
B00903X,1,2130,NATUZZI,COMODINI,VENERE,Comodino,Metallo,Ottone,Legno Laccato,"Giada Lucido",50X50 H56,"VENERE COMODINO GIADA LUCIDO/OTTONE",Y2,DDN00900000003X
B00904X,1,2130,NATUZZI,COMODINI,VENERE,Comodino,Metallo,Cromo Nero,Legno Laccato,"Gesso Bianco Lucido",50X50 H56,"VENERE COMODINO BIANCO GESSO LUCIDO/CROMO NERO LUCIDO",Y2,DDN00900000004X
B00906X,1,2000,NATUZZI,COMODINI,VENERE,Comodino,Metallo,Ottone,Legno,"Rovere Fumé Termocotto",50X50 H56,"VENERE Comodino D50 Rovere 2017/Ottone",Y2,DDN00900000006X
