codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello,forma,funzione,struttura_tipo_materiale_label,struttura_materiale,struttura_finitura_label,struttura_finitura,top_tipo_materiale_label,top_materiale,top_finitura_label,top_finitura,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
Q070003XNA,1,1740,NATUZZI,TAVOLINI,ADAM,Rotondo,Da Appoggio,Struttura,Legno,Finitura Struttura,Frassino Miele,Top,Legno,Finitura Top,Frassino Miele,52X52 H55,"ADAM ACC.TABLE D52H55  FRAS.MIELE FSC",Y2,Q070003XNA
Q070010XNA,1,1720,NATUZZI,TAVOLINI,ADAM,Rotondo,Da Appoggio,Struttura,Legno-Pietra,Finitura Struttura,Pietra Leccese Spazzolata,Top,Pietra Leccese Spazzolata,Finitura Top,,52X52 H55,"ADAM ACC.TABLE  D52H55 PIETRA SPAT.",Y2,Q070010XNA
T1000X1,1,1180,NATUZZI,TAVOLINI,CABARET,Quadrato,Centrale,Struttura,Metallo,Finitura Struttura,Antracite,Top,Marmo,Finitura Top,Travertino,90X90 H34,"CABARET Cent90x90H34 Antrh./Travertine",Y2,DDT10000000001X
T100FM3,1,1000,NATUZZI,TAVOLINI,CABARET,Quadrato,Centrale,Struttura,Metallo,Finitura Struttura,Cromato Lucido,Top,Marmo,Finitura Top,Bianco Carrara,90X90 H34,"CABARET CENTRAL 90X90 H34 WHITE MARBLE",Y2,DDT100CFR21152P
T100XM0,1,350,NATUZZI,TAVOLINI,CABARET,Quadrato,Angolare,Struttura,Metallo,Finitura Struttura,Cromato Lucido,Top,Vetro,Finitura Top,Satinato Caffè,45X45 H54,"CABARET CE.TA.45X45 H54 FROS.COFFE-CHROM",Y2,DDT100AFRV1124P
T100XM4,1,600,NATUZZI,TAVOLINI,CABARET,Quadrato,Centrale,Struttura,Metallo,Finitura Struttura,Cromato Lucido,Top,Vetro,Finitura Top,Satinato Caffè,90X90 H34,"CABARET CE.TA.90X90 H34 FROS.COFFE-CHROM",Y2,DDT100CFRM1124P
T100XY0,1,400,NATUZZI,TAVOLINI,CABARET,Quadrato,Angolare,Struttura,Metallo,Finitura Struttura,Cromato Lucido,Top,Vetro,Finitura Top,Satinato Bianco,45X45 H53,"CABARET CE.TA.45X45 H53 FROS.WHITE-CHROM",Y2,DDT100AFRV1152P
T100XY4,1,710,NATUZZI,TAVOLINI,CABARET,Quadrato,Centrale,Struttura,Metallo,Finitura Struttura,Cromato Lucido,Top,Vetro,Finitura Top,Satinato Bianco,90X90 H34,"CABARET CE.TA.90X90 H34 FROS.WHITE-CHROM",Y2,DDT100CFRM1152P
T1000X2,1,720,NATUZZI,TAVOLINI,CABARET,Rotondo,Angolare,Struttura,Metallo,Finitura Struttura,Antracite,Top,Marmo,Finitura Top,Travertino,45X45 H54,"CABARET Side45x45H54 Antrh./Travertine",Y2,DDT10000000002X
E04403X,1,5550,NATUZZI,TAVOLINI,Campus,Quadrato,Centrale,Struttura,Metallo/Legno,Finitura Struttura,Champagne Lucido/Legno Frassino Tabacco,Top,Marmo Calacatta,Finitura Top,Verde Calacatta,120X120 H40,"CAMPUS tav 120 Champ/CalacatVerde",Y2,DDE04400000003X
E04410X,1,5130,NATUZZI,TAVOLINI,Campus,Quadrato,Centrale,Struttura,Metallo/Legno,Finitura Struttura,Cromo Nero Lucido - Legno Eucalipto,Top,Ceramica,Finitura Top,Macchia Vecchia,120X120 H40,"CAMPUS CEN. 120X120H40 CER.M.VECCHIA",Y2,DDE04400000010X
E04414X,1,5880,NATUZZI,TAVOLINI,Campus,Quadrato,Centrale,Struttura,Metallo/Legno,Finitura Struttura,Champagne Lucido/Legno Frassino Tabacco,Top,Marmo,Finitura Top,Oro Calacatta Lucido,120X120 H40,"Campus cen.Cham/Ash.Tob./Cal.Gold",Y2,DDE04400000014X
E04405X,1,3660,NATUZZI,TAVOLINI,Campus,Rettangolare,Centrale,Struttura,Metallo/Legno,Finitura Struttura,Champagne Lucido/Legno Frassino Tabacco,Top,Vetro,Finitura Top,Verde Lucido,90X140 H34,"CAMPUS tav 140x90 Champ/VetroVerde",Y2,DDE04400000005X
E04401X,1,4770,NATUZZI,TAVOLINI,Campus,Rotondo,Centrale,Struttura,Metallo/Legno,Finitura Struttura,Champagne Lucido/Legno Frassino Tabacco,Top,Marmo Calacatta,Finitura Top,Verde Calacatta,100X100 H29,"CAMPUS tav D100 Champ/CalacatVerd",Y2,DDE04400000001X
E04402X,1,3540,NATUZZI,TAVOLINI,Campus,Rotondo,Centrale,Struttura,Metallo/Legno,Finitura Struttura,Champagne Lucido/Legno Frassino Tabacco,Top,Legno,Finitura Top,,100X100 H28,"CAMPUS tav D100 Champagne/Tabacco",Y2,DDE04400000002X
E04407X,1,2320,NATUZZI,TAVOLINI,Campus,Rotondo,Da Appoggio,Struttura,Metallo/Legno,Finitura Struttura,Champagne Lucido/Legno Frassino Tabacco,Top,Marmo Calacatta,Finitura Top,Verde Calacatta,47X47 H52,"CAMPUS serv D47  Champ/CalacVerde",Y2,DDE04400000007X
E04408X,1,1930,NATUZZI,TAVOLINI,Campus,Rotondo,Da Appoggio,Struttura,Metallo/Legno,Finitura Struttura,Champagne Lucido/Legno Frassino Tabacco,Top,Vetro,Finitura Top,Verde Lucido,47X47 H51,"CAMPUS serv D47  Champ/VetroVerde",Y2,DDE04400000008X
E04409X,1,2030,NATUZZI,TAVOLINI,Campus,Rotondo,Da Appoggio,Struttura,Metallo/Legno,Finitura Struttura,Champagne Lucido/Legno Frassino Tabacco,Top,Legno,Finitura Top,,47X47 H51,"CAMPUS serv D47  Champ/FrassTabac",Y2,DDE04400000009X
E04411X,1,3630,NATUZZI,TAVOLINI,Campus,Rotondo,Centrale,Struttura,Metallo/Legno,Finitura Struttura,Cromo Nero Lucido - Legno Eucalipto,Top,Legno,Finitura Top,Eucalipto,100X100 H28,"CAMPUS CEN. D100H28 LEG.EUCALIPTO",Y2,DDE04400000011X
E04412X,1,2090,NATUZZI,TAVOLINI,Campus,Rotondo,Da Appoggio,Struttura,Metallo/Legno,Finitura Struttura,Cromo Nero Lucido - Legno Eucalipto,Top,Ceramica,Finitura Top,Macchia Vecchia,47X47 H52,"CAMPUS ACC.. D47 H52  CER.M.VECCHIA",Y2,DDE04400000012X
E04413X,1,2290,NATUZZI,TAVOLINI,Campus,Rotondo,Da Appoggio,Struttura,Metallo/Legno,Finitura Struttura,Cromo Nero Lucido - Legno Eucalipto,Top,Legno,Finitura Top,Eucalipto,47X47 H52,"CAMPUS ACC.. D47 H52  LEG.EUCALIPTO",Y2,DDE04400000013X
E04415X,1,2320,NATUZZI,TAVOLINI,Campus,Rotondo,Da Appoggio,Struttura,Metallo/Legno,Finitura Struttura,Champagne Lucido/Legno Frassino Tabacco,Top,Marmo,Finitura Top,Oro Calacatta Lucido,47X47 H52,"Campus Acc.Champ/Ash. Tob./Cal.Gold",Y2,DDE04400000015X
E04505X,1,1450,NATUZZI,TAVOLINI,CAVA,Rettangolare,Centrale,Struttura,Vetro,Finitura Struttura,Fumé,Top,Vetro,Finitura Top,Fumé,100X120 H28,"CAVA Tavolo 120x100 Vetro Fumé",Y2,DDE04500000005X
E04506X,1,1450,NATUZZI,TAVOLINI,CAVA,Rettangolare,Centrale,Struttura,Vetro,Finitura Struttura,Bronzo,Top,Vetro,Finitura Top,Bronzo,100X120 H28,"CAVA Tavolo 120x100 Vetro Bronzo",Y2,DDE04500000006X
E04508X,1,1450,NATUZZI,TAVOLINI,CAVA,Rettangolare,Centrale,Struttura,Vetro,Finitura Struttura,Celeste,Top,Vetro,Finitura Top,Vetro Extra Chiaro,100X120 H28,"CAVA tav 120x100 Vetr Celest/ExtW",Y2,DDE04500000008X
E04501X,1,1330,NATUZZI,TAVOLINI,CAVA,Rotondo,Centrale,Struttura,Vetro,Finitura Struttura,Fumé,Top,Vetro,Finitura Top,Fumé,100X100 H32,"CAVA Tavolo D100 Vetro Fumé",Y2,DDE04500000001X
E04502X,1,1330,NATUZZI,TAVOLINI,CAVA,Rotondo,Centrale,Struttura,Vetro,Finitura Struttura,Bronzo,Top,Vetro,Finitura Top,Bronzo,100X100 H32,"CAVA Tavolo D100 Vetro Bronzo",Y2,DDE04500000002X
E04504X,1,1330,NATUZZI,TAVOLINI,CAVA,Rotondo,Centrale,Struttura,Vetro,Finitura Struttura,Celeste,Top,Vetro,Finitura Top,Vetro Extra Chiaro,100X100 H32,"CAVA tav D100 Vetro Celest/ExtraW",Y2,DDE04500000004X
E04511X,1,900,NATUZZI,TAVOLINI,CAVA,Rotondo,Da Appoggio,Struttura,Metallo,Finitura Struttura,Caffè Opaco,Top,Vetro,Finitura Top,Fumé,40X40 H48,"CAVA tav D40 Caffe/Vetro SpFume",Y2,DDE04500000011X
E04512X,1,900,NATUZZI,TAVOLINI,CAVA,Rotondo,Da Appoggio,Struttura,Metallo,Finitura Struttura,Caffè Opaco,Top,Vetro,Finitura Top,Bronzo,40X40 H48,"CAVA tav D40 Caffe/Vetro SpBronzo",Y2,DDE04500000012X
T10802X,1,1080,NATUZZI,TAVOLINI,CHOCOLAT,Multiforme,Centrale,Struttura,Metallo,Finitura Struttura,Peltro,Top,Vetro,Finitura Top,Grigio Fumé,83X101 H28,"CHOCOLAT Centr.101x83H28 Pewt/SmokGl",Y2,DDT10800000002X
T10803X,1,730,NATUZZI,TAVOLINI,CHOCOLAT,Multiforme,Da Appoggio,Struttura,Metallo,Finitura Struttura,Peltro,Top,Vetro,Finitura Top,Grigio Fumé,48X57 H50,"CHOCOLAT Accent57x48H50 Pewt/SmokGl",Y2,DDT10800000003X
T108F54,1,1090,NATUZZI,TAVOLINI,CHOCOLAT,Rettangolare,Centrale,Struttura,Metallo,Finitura Struttura,Peltro,Top,Marmo,Finitura Top,Grigio Imperiale,83X101 H28,"CHOCOLAT CENT.101X83 H28 PEWTER-GREY IMP",Y2,DDT108CFR2A815P
T108M0S,1,770,NATUZZI,TAVOLINI,CHOCOLAT,Rettangolare,Da Appoggio,Struttura,Metallo,Finitura Struttura,Peltro,Top,Marmo,Finitura Top,Grigio Imperiale,48X57 H50,"CHOCOLAT ACCENT 48X57 H50 IMP.GREY-PEWTE",Y2,DDT108SFR26300P
T108MZ3,1,1470,NATUZZI,TAVOLINI,CHOCOLAT,Rettangolare,Centrale,Struttura,Metallo,Finitura Struttura,Peltro,Top,Marmo,Finitura Top,Crema Argento Atene,83X101 H28,"CHOCOLAT CEN.101X83 H28 PEWT-ATHENS CREM",Y2,DDT108CFR2NI11P
T108MZS,1,810,NATUZZI,TAVOLINI,CHOCOLAT,Rettangolare,Da Appoggio,Struttura,Metallo,Finitura Struttura,Peltro,Top,Marmo,Finitura Top,Crema Argento Atene,48X57 H50,"CHOCOLAT ACC.48X57 H50 PEWT-ATHENS CREME",Y2,DDT108SFR2NI11P
E02801X,1,1030,NATUZZI,TAVOLINI,ESTRO,Rotondo,Centrale,Struttura,Metallo,Finitura Struttura,Nero Brunito,Top,Legno,Finitura Top,Noce,90X90 H39,"ESTRO TAVOLINO D90 NOCE2017NEROBRUN",Y2,DDE028T0000001X
E02802X,1,1070,NATUZZI,TAVOLINI,ESTRO,Rotondo,Centrale,Struttura,Metallo,Finitura Struttura,Nero Brunito,Top,Legno,Finitura Top,Rovere Fumé,90X90 H39,"ESTRO TAVOLINO D90 ROVERE2017NEROBRUN",Y2,DDE028T0000002X
E02803X,1,1490,NATUZZI,TAVOLINI,ESTRO,Rotondo,Angolare,Struttura,Metallo,Finitura Struttura,Nero Brunito,Top,Marmo,Finitura Top,Sahara Noir,50X50 H55,"ESTRO TAVOLINO D50 SAHARANOIRLUCNEROBR",Y2,DDE028T0000003X
E02804X,1,1600,NATUZZI,TAVOLINI,ESTRO,Rotondo,Angolare,Struttura,Metallo,Finitura Struttura,Nero Brunito,Top,Marmo,Finitura Top,Invisible Gray,50X50 H55,"ESTRO TAVOLINO D50 INVISGREYLUCNEROBR",Y2,DDE028T0000004X
E02805X,1,790,NATUZZI,TAVOLINI,ESTRO,Rotondo,Da Appoggio,Struttura,Metallo,Finitura Struttura,Nero Brunito,Top,Vetro,Finitura Top,Rosso Mattone,40X40 H45,"ESTRO TAVOLINO D40 VETROCOPPER/NEROBR",Y2,DDE028T0000005X
E02806X,1,790,NATUZZI,TAVOLINI,ESTRO,Rotondo,Da Appoggio,Struttura,Metallo,Finitura Struttura,Nero Brunito,Top,Vetro,Finitura Top,Verde,40X40 H45,"ESTRO TAVOLINO D40 VETROALLORO/NEROBR",Y2,DDE028T0000006X
E02807X,1,1510,NATUZZI,TAVOLINI,ESTRO,Rotondo,Angolare,Struttura,Metallo,Finitura Struttura,Nero Brunito,Top,Marmo,Finitura Top,Lilac,50X50 H55,"ESTRO tav D50 Nero/Marmo Lilac",Y2,DDE02800000007X
E02808X,1,730,NATUZZI,TAVOLINI,ESTRO,Rotondo,Da Appoggio,Struttura,Metallo,Finitura Struttura,Nero Brunito,Top,Vetro,Finitura Top,Glicine,40X40 H45,"ESTRO tav D40 Nero/VetroGlicine",Y2,DDE02800000008X
E02809X,1,770,NATUZZI,TAVOLINI,ESTRO,Rotondo,Da Appoggio,Struttura,Metallo,Finitura Struttura,Nero Brunito,Top,Vetro,Finitura Top,Celeste,40X40 H45,"Estro Black Brunito/Light Blue D40 H45 c",Y2,DDE02800000009X
T876001XNA,1,2750,NATUZZI,TAVOLINI,FEUDO,Rotondo,Centrale,Struttura,Legno,Finitura Struttura,Frassino,Top,Marmo,Finitura Top,Travertino,105X105 H40,"FEUDO Cent.R D103H40-56 NatAsh-Travert",Y2,T876001XNA
T876002XNA,1,3090,NATUZZI,TAVOLINI,FEUDO,Rotondo,Centrale,Struttura,Legno,Finitura Struttura,Frassino,Top,Legno Laccato,Finitura Top,Laccato Bianco Lucido,105X105 H40,"FEUDO Cent.R D103H40-56 NatAsh-Whi.Laq",Y2,T876002XNA
E02708X,1,3410,NATUZZI,TAVOLINI,Filrouge,Quadrato,Centrale,Struttura,Legno e Metallo,Finitura Struttura,Rovere Fumé/Nero Brunito,Top,Marmo,Finitura Top,Volakas,100X100 H34,"FILROUGE TAVOLO 100 ROV2017/VOLAKAS",Y2,DDE027Q0000008X
E02705X,1,1460,NATUZZI,TAVOLINI,Filrouge,Rettangolare,Multifunzione,Struttura,Legno e Metallo,Finitura Struttura,Rovere Fumé/Nero Brunito,Top,,Finitura Top,,40X120 H33,"FIL ROUGE PORTATV L120 ROV2017NEROB",Y2,DDE027R0000005X
E02711X,1,920,NATUZZI,TAVOLINI,Filrouge,Rotondo,Da Appoggio,Struttura,Metallo,Finitura Struttura,Nero Brunito,Top,Legno,Finitura Top,Rovere Fumé,40X40 H48,"FIL ROUGE SERVETTO D40 ROV2017NEROBR",Y2,DDE027T0000011X
E02713X,1,1340,NATUZZI,TAVOLINI,Filrouge,Rotondo,Da Appoggio,Struttura,Metallo,Finitura Struttura,Nero Rosa,Top,Marmo,Finitura Top,Volakas,40X40 H48,"FIL ROUGE SERVETTO D40 VOLAKAS/NERORO",Y2,DDE027T0000013X
T847001XNA,1,2380,NATUZZI,TAVOLINI,FROST,Rotondo,Centrale,Struttura,Marmo/Metallo,Finitura Struttura,Peltro/Fossena,Top,Vetro,Finitura Top,Vetro Extra Chiaro,108X100 H30,"FROST Cen.Rou108x100H30 Pewt/FossenaM",Y2,T847001XNA
T847002XNA,1,2170,NATUZZI,TAVOLINI,FROST,Rotondo,Da Appoggio,Struttura,Marmo/Metallo,Finitura Struttura,Peltro/Fossena,Top,Vetro,Finitura Top,Vetro Extra Chiaro,55X50 H50,"FROST Acc.Rou55x50H50 Pewt/FossenaM",Y2,T847002XNA
T847003XNA,1,2320,NATUZZI,TAVOLINI,FROST,Rotondo,Centrale,Struttura,Marmo/Metallo,Finitura Struttura,Carrara Peltro,Top,Vetro,Finitura Top,Vetro Extra Chiaro,108X100 H30,"FROST CEN.ROU108X100H30 Carrara-Pewt",Y2,T847003XNA
T847004XNA,1,2060,NATUZZI,TAVOLINI,FROST,Rotondo,Da Appoggio,Struttura,Marmo/Metallo,Finitura Struttura,Carrara Peltro,Top,Vetro,Finitura Top,Vetro Extra Chiaro,55X50 H50,"FROST ACC.ROU55X50H50 Carrara-Pewter",Y2,T847004XNA
T1560X1,1,1470,NATUZZI,TAVOLINI,HERMAN,Quadrato,Centrale,Struttura,Metallo,Finitura Struttura,Bronzo,Top,Vetro,Finitura Top,Specchio Bronzo,100X100 H27,"HERMAN Cent.100x100H27 Gold/bronz glas",Y2,DDT15600000001X
T1560X3,1,1700,NATUZZI,TAVOLINI,HERMAN,Quadrato,Centrale,Struttura,Metallo,Finitura Struttura,Bronzo,Top,Marmo,Finitura Top,Rain Forest Brown,100X100 H27,"HERMAN Cent.100x100H27 FOREST BROWN",Y2,DDT15600000003X
T156VM3,1,1070,NATUZZI,TAVOLINI,HERMAN,Quadrato,Centrale,Struttura,Metallo,Finitura Struttura,Peltro,Top,Vetro,Finitura Top,Caffè,100X100 H27,"HERMAN CE.TA.100x100H27 COFFEE GLASS/PEW",Y2,DDT156CVTM2515P
T156X03,1,3240,NATUZZI,TAVOLINI,HERMAN,Quadrato,Centrale,Struttura,Metallo,Finitura Struttura,Peltro,Top,Marmo,Finitura Top,Invisible Gray,100X100 H27,"HERMAN CEN.TAB.100X100 H27 PEWT-INV.GREY",Y2,DDT156CMAMNI15P
T156XH3,1,1480,NATUZZI,TAVOLINI,HERMAN,Quadrato,Centrale,Struttura,Metallo,Finitura Struttura,Peltro,Top,Marmo,Finitura Top,Marmo Orobico,100X100 H27,"HERMAN CEN.TA.100x100H27 MAR.OROBICO/PEW",Y2,DDT156CMAM0115P
T156XZ3,1,2660,NATUZZI,TAVOLINI,HERMAN,Quadrato,Centrale,Struttura,Metallo,Finitura Struttura,Peltro,Top,Marmo,Finitura Top,Oro Calacatta,100X100 H27,"HERMAN CEN.TAB.100X100 H27 PEWT-CAL.GOLD",Y2,DDT156CMAMNI69P
T1560X2,1,1070,NATUZZI,TAVOLINI,HERMAN,Rotondo,Angolare,Struttura,Metallo,Finitura Struttura,Bronzo,Top,Vetro,Finitura Top,Specchio Bronzo,56X56 H50,"HERMAN Side D56H50 Gold/bronze glas",Y2,DDT15600000002X
T1560X4,1,960,NATUZZI,TAVOLINI,HERMAN,Rotondo,Da Appoggio,Struttura,Metallo,Finitura Struttura,Bronzo,Top,Marmo,Finitura Top,Rain Forest Brown,56X56 H50,"HERMAN Acce. D56H50 FOREST BROWN",Y2,DDT15600000004X
T156LRS,1,580,NATUZZI,TAVOLINI,HERMAN,Rotondo,Da Appoggio,Struttura,Metallo,Finitura Struttura,Peltro,Top,Legno,Finitura Top,Rovere Fumé,56X56 H50,"HERMAN ACC.TAV.D56 H50 SMOKED OAK/PEWTER",Y2,DDT156SLGM1215P
T156VMS,1,450,NATUZZI,TAVOLINI,HERMAN,Rotondo,Da Appoggio,Struttura,Metallo,Finitura Struttura,Peltro,Top,Vetro,Finitura Top,Caffè,45X45 H34,"HERMAN ACC.TAB.D45H34 COFFEE GLASS/PEWTE",Y2,DDT156SVTM2515P
T156X0S,1,1710,NATUZZI,TAVOLINI,HERMAN,Rotondo,Da Appoggio,Struttura,Metallo,Finitura Struttura,Peltro,Top,Marmo,Finitura Top,Invisible Gray,56X56 H50,"HERMAN ACC.TAB.D56 H50 PEWTER-INVIS.GREY",Y2,DDT156SMAMNI15P
T156XHS,1,860,NATUZZI,TAVOLINI,HERMAN,Rotondo,Da Appoggio,Struttura,Metallo,Finitura Struttura,Peltro,Top,Marmo,Finitura Top,Marmo Orobico,56X56 H50,"HERMAN ACC.TAB.D56H50 MAB.OROBICO/PEWTER",Y2,DDT156SMAM0115P
T156XZS,1,1510,NATUZZI,TAVOLINI,HERMAN,Rotondo,Da Appoggio,Struttura,Metallo,Finitura Struttura,Peltro,Top,Marmo,Finitura Top,Oro Calacatta,56X56 H50,"HERMAN ACC.TAB.D56 H50 PEWTER-CALAC.GOLD",Y2,DDT156SMAMNI69P
E03203X,1,3510,NATUZZI,TAVOLINI,ICON,Quadrato,Centrale,Struttura,Legno e Metallo,Finitura Struttura,Rovere Fumé/Ottone,Top,Marmo,Finitura Top,Marmo Orobico,100X100 H32,"ICON TAV100X100 OROBICO/ROV2017/OTT",Y2,DDE032Q0000003X
E03204X,1,3490,NATUZZI,TAVOLINI,ICON,Quadrato,Centrale,Struttura,Legno e Metallo,Finitura Struttura,Noce/Ottone,Top,Marmo,Finitura Top,Volakas,100X100 H32,"ICON TAV100X100 VOLAKAS/NOCE2017/OTT",Y2,DDE032Q0000004X
E03205X,1,1000,NATUZZI,TAVOLINI,ICON,Quadrato,Angolare,Struttura,Legno e Metallo,Finitura Struttura,Rovere Fumé/Ottone,Top,Legno Laccato,Finitura Top,Cemento Opaco,55X55 H56,"ICON TAV 55X55 CEMENTOOP/ROV2017/OTT",Y2,DDE032Q0000005X
E03206X,1,1000,NATUZZI,TAVOLINI,ICON,Quadrato,Angolare,Struttura,Legno e Metallo,Finitura Struttura,Noce/Ottone,Top,Legno Laccato,Finitura Top,Gesso Bianco Opaco,55X55 H56,"ICON TAV 55X55 BIANCOGESOP/NOC2017/OTT",Y2,DDE032Q0000006X
E03201X,1,2150,NATUZZI,TAVOLINI,ICON,Rettangolare,Centrale,Struttura,Legno e Metallo,Finitura Struttura,Rovere Fumé/Ottone,Top,Legno,Finitura Top,Rovere Fumé,80X120 H39,"ICON TAVOLINO 120X80 ROVERE2017/OTTONE",Y2,DDE032R0000001X
E03202X,1,2020,NATUZZI,TAVOLINI,ICON,Rettangolare,Centrale,Struttura,Legno e Metallo,Finitura Struttura,Noce/Ottone,Top,Legno,Finitura Top,Noce,80X120 H39,"ICON TAVOLINO 120X80 NOCEV2017/OTTONE",Y2,DDE032R0000002X
E03207X,1,1240,NATUZZI,TAVOLINI,ICON,Rettangolare,Da Appoggio,Struttura,Legno e Metallo,Finitura Struttura,Rovere Fumé/Ottone,Top,Legno,Finitura Top,Rovere Fumé,40X55 H51,"ICON TAV 55X40 ROVERE2017/OTTONE",Y2,DDE032R0000007X
E03208X,1,1210,NATUZZI,TAVOLINI,ICON,Rettangolare,Da Appoggio,Struttura,Legno e Metallo,Finitura Struttura,Noce/Ottone,Top,Legno,Finitura Top,Noce,40X55 H51,"ICON TAV 55X40 NOCE2017/OTTONE",Y2,DDE032R0000008X
E03211X,1,1100,NATUZZI,TAVOLINI,ICON,Rotondo,Da Appoggio,Struttura,Legno e Metallo,Finitura Struttura,Rovere Fumé/Ottone,Top,Legno,Finitura Top,Rovere Affumicato Termocotto,55X55 H56,"ICON Tav.TONDO D55H56Ro.Af/Ot.RO.TER2017",Y2,DDE03200000011X
T15702X,1,1360,NATUZZI,TAVOLINI,IDO,Quadrato,Da Appoggio,Struttura,Metallo,Finitura Struttura,Peltro,Top,Marmo,Finitura Top,Invisible Gray,40X40 H47,"IDO TAV 40X40H47 INVISIBLE GRAY/PELTRO",Y2,DDE037T0000002X
T157XXT,1,890,NATUZZI,TAVOLINI,IDO,Quadrato,Da Appoggio,Struttura,Metallo,Finitura Struttura,Peltro,Top,Metallo,Finitura Top,Silver Wave,40X40 H47,"IDO ACC.TAB.1 ST.40X40 H47 SIL.WAVE-PEWT",Y2,DDT157SMAV6315P
T157XYT,1,750,NATUZZI,TAVOLINI,IDO,Quadrato,Da Appoggio,Struttura,Metallo,Finitura Struttura,Peltro,Top,Marmo,Finitura Top,Oro Calacatta,40X40 H47,"IDO ACC.TAB.1 ST.40X40 H47 CAL.GOLD-PEWT",Y2,DDT157SMAV6915P
T15701X,1,1850,NATUZZI,TAVOLINI,IDO,Rotondo,Da Appoggio,Struttura,Metallo,Finitura Struttura,Peltro,Top,Marmo,Finitura Top,Invisible Gray,55X55 H56,"IDO TAV D55 H56 INVISIBLE GRAY/PELTRO",Y2,DDE037T0000001X
T157M53,1,1770,NATUZZI,TAVOLINI,IDO,Rotondo,Centrale,Struttura,Metallo,Finitura Struttura,Peltro,Top,Metallo,Finitura Top,Cromo Nero,90X90 H39,"IDO CENTR.TAB.D90H39 GL.BLACK CHROM-PEWT",Y2,DDT157CFRMA815P
